stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
67162,901567,HUFF RD NW@EARNEST ST NW,0 HUFF & EARNEST,33.787625,-84.415055,,,,
67165,901632,HUFF RD NW@BOYD AVE NW,0 HUFF & BOYD,33.789292,-84.419208,,,,
67166,901633,HUFF RD NW@ENGLISH ST NW,0 HUFF & ENGLISH,33.789504,-84.419926,,,,
67169,901677,HUFF RDNW@ELLSWORTH IND BLVD NW,0 HUFF RD NW & ELLSWORTH IND BLVD NW,33.788863,-84.425991,,,,
67170,901678,HUFF RD NW@FAIRMONT AVE NW,0 HUFF RD NW & FAIRMONT AVE NW,33.789502,-84.422229,,,,
67172,901683,ELLSWORTH DR NW@ELAINE AVE NW,0 ELLSWORTH & ELAINE,33.793147,-84.427081,,,,
67174,901684,ELLSWORTH DR NW@1510,,33.796312,-84.427168,,,,
67176,901685,ELLSWORTH DR NW@1530,,33.797324,-84.427144,,,,
67180,901679,CHATTAHOOCHEE AVE NW@ELLSWORTH DR,0 CHATTAHOOCHEE AVE NW & ELLSWORTH DR NW,33.800659,-84.427029,,,,
67182,901680,CHATTAHOOCHEE AVE NW@SOUTHLAND CIR,0 CHATTAHOOCHEE & SOUTHLAND,33.801638,-84.43018,,,,
67184,901681,CHATTAHOOCHEE AVE NW@CARROLL DR NW,0 CHATTAHOOCHEE & CARROLL,33.803183,-84.432331,,,,
67186,901682,CHATTAHOOCHEE AVE NW@1396,,33.804282,-84.433423,,,,
67188,901687,CHATTAHOOCHEE AVE NW@LOGAN CIR NW,0 CHATTAHOOCHEE & LOGAN,33.805182,-84.433995,,,,
67190,901688,CHATTAHOOCHEE AVE NW@LOGAN CIR NW,0 CHATTAHOOCHEE & LOGAN,33.806452,-84.434659,,,,
67192,901689,CHATTAHOOCHEE AVE NW@COLLIER RD NW,0 CHATTAHOOCHEE & COLLIER,33.808485,-84.435925,,,,
67194,901802,CHATTAHOOCHEE AVE NW@MARIETTA BLVD,0 CHATTAHOOCHEE & MARIETTA,33.809645,-84.437741,,,,
67196,901803,MARIETTA BLVD NW @ 2130,,33.813256,-84.439754,,,,
67200,901804,HOWELL MILL RD NW@GARRAUX ST NW,0 HOWELL MILL & GARRAUX,33.797949,-84.416339,,,,
67236,902136,PERRY BLVD@1600,,33.790302,-84.440491,,,,
67238,902019,PERRY BLVD@1600,,33.790058,-84.440926,,,,
67240,902020,DEFOOR AVE@HOWELL MILL RD,0 DEFOOR & HOWELL MILL,33.800328,-84.416249,,,,
67260,902137,DEFOOR AVE@RHOMBOID ST,0 DEFOOR & RHOMBOID,33.80747,-84.424824,,,,
67262,902138,DEFOOR AVE@SEABOARD AVE,0 DEFOOR & SEABOARD,33.808641,-84.425287,,,,
67278,902139,MARIETTA BLVD@MARIETTA ST,0 MARIETTA & MARIETTA,33.785362,-84.428047,,,,
67280,902247,HUFF RD@BOOTH ST,0 HUFF & BOOTH,33.788865,-84.417827,,,,
67282,901460,HUFF RD@N ASHBY ST,0 HUFF & N ASHBY,33.788322,-84.417398,,,,
67284,901461,HUFF RD@FOSTER ST,0 HUFF & FOSTER,33.78761,-84.413418,,,,
67286,901462,CHATTAHOOCHEE AVE@VAN HEUSEN BLVD,0 CHATTAHOOCHEE & VAN HEUSEN,33.802295,-84.430736,,,,
67290,902248,DEFOORS FERRY RD @ NOBLE CREEK DR,0 DEFOORS FERRY RD NW & NOBLE CREEK DR NW,33.813674,-84.425816,,,,
67292,902249,HUFF RD@1088,,33.789129,-84.423675,,,,
68001,902250,14TH ST NE@PIEDMONT AVE NE,0 14TH & PIEDMONT,33.7866,-84.37859,,,,
68016,902451,PEACHTREE RD NW@BENNETT ST NW,0 PEACHTREE & BENNETT,33.81216,-84.392487,,,,
68018,902452,PEACHTREE RD NW@PEACHTREE VALLEY RD,0 PEACHTREE & PEACHTREE VALLEY,33.809956,-84.393039,,,,
68020,902453,PEACHTREE RD NW@BRIGHTON,0 PEACHTREE & BRIGHTON,33.807564,-84.393898,,,,
68022,902454,PEACHTREE RD NW@COLLIER RD NW,0 PEACHTREE & COLLIER,33.806812,-84.394089,,,,
68024,901583,PEACHTREE RD NW@28TH ST NW,0 PEACHTREE RD NE & 28TH ST NW,33.805571,-84.393899,,,,
68026,901584,PEACHTREE RD NW@26TH ST NW,0 PEACHTREE & 26TH,33.802605,-84.393143,,,,
68028,901585,PEACHTREE RD NW@25TH ST NW,0 PEACHTREE & 25TH,33.801495,-84.39299,,,,
68030,901586,PEACHTREE RD NW@DEERING RD NW,0 PEACHTREE & DEERING,33.79986,-84.392768,,,,
68032,902455,PEACHTREE ST@SPRING ST,0 PEACHTREE & SPRING,33.798302,-84.391724,,,,
68034,902456,PEACHTREE ST NE@PEACHTREE CIR NE,0 PEACHTREE ST NW & PEACHTREE CIR NE,33.795818,-84.387745,,,,
68038,902457,PEACHTREE ST NE@PEACHTREE ST NW,0 PEACHTREE & PEACHTREE,33.795055,-84.387924,,,,
68042,902512,PEACHTREE ST NE@17TH ST NE,0 PEACHTREE ST NE & 17TH ST NE,33.792489,-84.386405,,,,
68044,902485,PEACHTREE ST NE@16TH ST NE,0 PEACHTREE & 16TH,33.790726,-84.385536,,,,
68050,902487,15TH ST NE@PEACHTREE ST NE,0 15TH ST NE & PEACHTREE ST NE,33.788435,-84.384803,,,,
