stop_id,stop_code,stop_name,stop_lat,stop_lon
139008,139008,JONESBORO RD SE@JORDAN ST SE,33.703739,-84.37793
139010,139010,BROWNS MILL RD SE@LAQUITA DR SE,33.702621,-84.376839
128022,128022,VICKI LN SE@FLAGSTONE DR,33.71096,-84.31459
128024,128024,VICKI LN SE@1897,33.71109,-84.31281
128026,128026,WELLAND AVE SE@BRANNEN RD,33.715246,-84.311805
128028,128028,BRANNEN RD SE@BOULDER RD,33.715591,-84.312988
128038,128038,BRANNEN RD SE@DIANNE CT,33.715348,-84.323213
128042,128042,BRANNEN RD SE@CECILIA DR,33.71745,-84.32563
129960,129960,FLAT SHOALS RD@WOODCASTLE LN,33.721577,-84.315237
130002,130002,KENNARD LN@GREEN FORREST DR,33.726035,-84.259345
130004,130004,GREEN FORREST DR@GAY,33.722939,-84.259295
130020,130020,MIRIAM LN@2700,33.72032,-84.27299
133038,133038,PANOLA RD@SNAPFINGER PARK DR,33.704622,-84.169788
133040,133040,PANOLA RD@HILLANDALE DR,33.705918,-84.169331
133042,133042,SNAPFINGER WOODS DR@PANOLA RD,33.709248,-84.168457
158308,158308,CLEVELAND AVE SW@786,33.680996,-84.413864
158316,158316,CLEVELAND AVE SW@BEELER DR SW,33.681263,-84.401062
158318,158318,CLEVELAND AVE SW@THIRD AVE,33.68127,-84.40239
158320,158320,CLEVELAND AVE SW@DEARWOOD DR SW,33.681347,-84.404943
158322,158322,CLEVELAND AVE SW@METROPOLITAN PKY S,33.681346,-84.407551
159410,159410,HUTCHENS RD@KATOMARICK DR,33.667904,-84.363779
176040,176040,WASHINGTON RD@ROOSEVELT HWY,33.623238,-84.492142
176042,176042,WASHINGTON RD@SPRING ST,33.624772,-84.491913
176046,176046,WASHINGTON RD@4510,33.632606,-84.492051
176048,176048,WASHINGTON RD@SPANISH TRL,33.63341,-84.492124
151156,151156,CONSTITUTION RD@FORREST PARK RD,33.693232,-84.359593
164008,164008,OLD FAIRBURN RD @ SOMERSET TRL,33.663447,-84.527261
132120,132120,SNAPFINGER WOODS DR@LANTRAC CT,33.709397,-84.176067
133002,133002,SNAPFINGER WOODS DR@PANOLA RD,33.709064,-84.170387
133004,133004,SNAPFINGER WOODS DR@PANOLA RD,33.708759,-84.168686
133006,133006,PANOLA RD @ PANOLA INDUSTRIAL BLVD,33.707134,-84.169258
164010,164010,FAIRBURN RD @ LANDING SOUTH DR,33.664308,-84.520998
164014,164014,FAIRBURN RD SW @ WELCOME ALL RD,33.664104,-84.523453
132118,132118,SNAPFINGER WOODS DR@PARK CENTRAL B,33.709314,-84.173753
133008,133008,PANOLA RD@SNAPFINGER PARK DR,33.705357,-84.169937
133012,133012,FAIRINGTON RD@PANOLA RD,33.700771,-84.171211
133014,133014,FAIRINGTON RD@TIBURON DR,33.701958,-84.149086
133022,133022,HILLANDALE DR@SOMERSET PKWY,33.70594,-84.14222
133023,133023,HILLANDALE DR@5900,33.705229,-84.146947
151168,151168,CONSTITUTION RD@1415,33.688805,-84.333584
151170,151170,CONSTITUTION RD@1411,33.689189,-84.333423
151172,151172,CONSTITUTION RD@1490,33.689214,-84.331858
151174,151174,CONSTITUTION RD@1415,33.688718,-84.331884
158284,158284,WILLINGHAM DR @ PENNSYLVANIA ST,33.666717,-84.432089
158286,158286,CLEVELAND AVE@RANDALL ST,33.679523,-84.433418
158288,158288,CLEVELAND AVE@BAYARD ST,33.679523,-84.432091
158309,158309,CLEVELAND AVE@CHERYL DR,33.681629,-84.41743
158310,158310,CLEVELAND AVE SW@METROPOLITAN PKY S,33.68118,-84.40826
158312,158312,CLEVELAND AVE SW@DEARWOOD DR SW,33.680962,-84.40522
158314,158314,CLEVELAND AVE SW@3RD AVE SW,33.680908,-84.403023
151102,151102,STONEWALL DR SE@CONSTITUTION RD SE,33.692631,-84.356697
